CD_CB;CD_CB_SUP;LEVEL;LB_LEVEL;FRANCE;label
15.321;15.32;5;Niveau 5;TRUE;Prés salés avec graminées et Pourpier marin
15.322;15.32;5;Niveau 5;TRUE;Prés salés avec graminées et Aster marin
15.323;15.32;5;Niveau 5;TRUE;Prés salés avec graminées et Salicorne
15.324;15.32;5;Niveau 5;TRUE;Végétations à Halimione pedunculata
15.33;15.3;4;Niveau 4;TRUE;Communautés du schorre supérieur
15.331;15.33;5;Niveau 5;TRUE;Formations dominées par, ou riches en, Juncus gerardii
15.332;15.33;5;Niveau 5;TRUE;Formations dominées par Plantago maritima
15.333;15.33;5;Niveau 5;TRUE;Gazons à Festuca rubra ou Agrostis stolonifera
15.334;15.33;5;Niveau 5;TRUE;Gazons à Statice (Armeria maritima)
15.335;15.33;5;Niveau 5;TRUE;Zones à Carex distans
15.336;15.33;5;Niveau 5;TRUE;Formations riches en Carex extensa
15.337;15.33;5;Niveau 5;TRUE;Prairies à lavandes de mer (Limonium vulgare)
15.338;15.33;5;Niveau 5;TRUE;Formations riches en Blysmus rufus
15.339;15.33;5;Niveau 5;TRUE;Zones à Eleocharis uniglumis ou E. palustris
15.33A;15.33;5;Niveau 5;TRUE;Zones à Juncus maritimus
15.33B;15.33;5;Niveau 5;TRUE;Champs à armoise marine (Artemisia maritima)
15.33C;15.33;5;Niveau 5;TRUE;Tapis de Potentilla anserina
15.33D;15.33;5;Niveau 5;TRUE;Tapis de Frankenia laevis
15.33E;15.33;5;Niveau 5;TRUE;Zones à Aster (Aster tripolium) du schorre supérieur
15.34;15.3;4;Niveau 4;TRUE;Prés salés à Puccinellia et Spergularia marina
15.35;15.3;4;Niveau 4;TRUE;Végétation à Elymus pycnanthus
15.36;15.3;4;Niveau 4;TRUE;Laisses de mer des prés salés atlantiques
15.4;15;3;Niveau 3;TRUE;Prés salés continentaux
15.41;15.4;4;Niveau 4;TRUE;Prés salés continentaux avec Puccinellia distans
15.42;15.4;4;Niveau 4;TRUE;Prés salés continentaux à jonc et Elymus
15.43;15.4;4;Niveau 4;FALSE;
15.5;15;3;Niveau 3;TRUE;Prés salés méditerranéens
15.51;15.5;4;Niveau 4;TRUE;Prés salés méditerranéens à Juncus maritimus et J. acutus
15.52;15.5;4;Niveau 4;TRUE;Prés salés à Juncus gerardii et Carex divisa
15.53;15.5;4;Niveau 4;TRUE;Prés méditerranéens halo-psammophiles
15.54;15.5;4;Niveau 4;FALSE;
15.55;15.5;4;Niveau 4;TRUE;Prés salés méditerranéens à Puccinellia
15.56;15.5;4;Niveau 4;TRUE;Formations à annuelles sur laisses
15.57;15.5;4;Niveau 4;TRUE;Prés salés à chiendent et armoise
15.58;15.5;4;Niveau 4;TRUE;Formations à Juncus subulatus
15.6;15;3;Niveau 3;TRUE;Fourrés des prés salés (hygro-halophiles)
15.61;15.6;4;Niveau 4;TRUE;Fourrés des marais salés méditerranéens
15.611;15.61;5;Niveau 5;TRUE;Tapis d'Arthrocnemum perennis
15.612;15.61;5;Niveau 5;TRUE;Bosquets d'arbrisseaux à Arthrocnemum (enganes)
15.613;15.61;5;Niveau 5;TRUE;Bosquets à Arthrocnemum glaucum (enganes)
15.614;15.61;5;Niveau 5;TRUE;Bosquets d'arbrisseaux à Suaeda
15.615;15.61;5;Niveau 5;FALSE;
15.6151;15.615;6;Niveau 6;FALSE;
15.6152;15.615;6;Niveau 6;FALSE;
15.6153;15.615;6;Niveau 6;FALSE;
15.616;15.61;5;Niveau 5;TRUE;Fourrés méditerranéens à pourpier marin et Arthrocnemum fruticosi
15.617;15.61;5;Niveau 5;FALSE;
15.62;15.6;4;Niveau 4;TRUE;Fourrés des marais salés atlantiques
15.621;15.62;5;Niveau 5;TRUE;Fourrés argentés à Halimione portulacoides
15.622;15.62;5;Niveau 5;TRUE;Fruticées atlantiques d'Arthrocnemum perennis
15.623;15.62;5;Niveau 5;TRUE;Fourrés atlantiques d'arbrisseaux à Suaeda
15.624;15.62;5;Niveau 5;TRUE;Fourrés atlantiques d'arbustes à Arthrocnemum
15.63;15.6;4;Niveau 4;TRUE;Fourrés à Limoniastrum
15.64;15.6;4;Niveau 4;FALSE;
15.641;15.64;5;Niveau 5;FALSE;
15.642;15.64;5;Niveau 5;FALSE;
15.643;15.64;5;Niveau 5;FALSE;
15.7;15;3;Niveau 3;TRUE;Fourrés halophiles semi-désertiques
15.71;15.7;4;Niveau 4;FALSE;
15.711;15.71;5;Niveau 5;FALSE;
15.712;15.71;5;Niveau 5;FALSE;
15.713;15.71;5;Niveau 5;FALSE;
15.72;15.7;4;Niveau 4;TRUE;Fourrés halonitrophiles méditerranéens
15.721;15.72;5;Niveau 5;FALSE;
15.722;15.72;5;Niveau 5;FALSE;
15.723;15.72;5;Niveau 5;FALSE;
15.724;15.72;5;Niveau 5;FALSE;
15.725;15.72;5;Niveau 5;FALSE;
15.8;15;3;Niveau 3;TRUE;Steppes salées méditerranéennes
15.81;15.8;4;Niveau 4;TRUE;Steppes à Lavande de mer
15.811;15.81;5;Niveau 5;TRUE;Steppes à Lavande de mer ibériques
15.8114;15.811;6;Niveau 6;TRUE;Steppes à Lavande de mer catalano-provençales
15.82;15.8;4;Niveau 4;FALSE;
15.9;15;3;Niveau 3;FALSE;
15.91;15.9;4;Niveau 4;FALSE;
15.911;15.91;5;Niveau 5;FALSE;
15.912;15.91;5;Niveau 5;FALSE;
15.913;15.91;5;Niveau 5;FALSE;
15.92;15.9;4;Niveau 4;FALSE;
15.921;15.92;5;Niveau 5;FALSE;
15.922;15.92;5;Niveau 5;FALSE;
15.923;15.92;5;Niveau 5;FALSE;
15.93;15.9;4;Niveau 4;FALSE;
16;1;2;Niveau 2;TRUE;Dunes côtières et plages de sable
16.1;16;3;Niveau 3;TRUE;Plages de sable
16.11;16.1;4;Niveau 4;TRUE;Plages de sable sans végétation
16.12;16.1;4;Niveau 4;TRUE;Groupements annuels des plages de sable
16.13;16.1;4;Niveau 4;TRUE;Groupements vivaces des plages de sable
16.2;16;3;Niveau 3;TRUE;Dunes
16.21;16.2;4;Niveau 4;TRUE;Dunes mobiles
16.211;16.21;5;Niveau 5;TRUE;Dunes embryonnaires
16.2111;16.211;6;Niveau 6;TRUE;Dunes embryonnaires atlantiques
16.2112;16.211;6;Niveau 6;TRUE;Dunes embryonnaires méditerranéennes
16.212;16.21;5;Niveau 5;TRUE;Dunes blanches
16.2121;16.212;6;Niveau 6;TRUE;Dunes blanches de l'Atlantique
16.2122;16.212;6;Niveau 6;TRUE;Dunes blanches de la Méditerranée
16.2123;16.212;6;Niveau 6;FALSE;
16.22;16.2;4;Niveau 4;TRUE;Dunes grises
16.221;16.22;5;Niveau 5;TRUE;Dunes grises septentrionales
16.2211;16.221;6;Niveau 6;TRUE;Groupements dunaires à Tortula
16.2212;16.221;6;Niveau 6;TRUE;Groupements dunaires à Corynephorus canescens
16.2213;16.221;6;Niveau 6;TRUE;Groupements dunaires à Myosoton
16.222;16.22;5;Niveau 5;TRUE;Dunes grises de Gascogne
16.223;16.22;5;Niveau 5;TRUE;Dunes grises ibéro-méditerranéennes
16.224;16.22;5;Niveau 5;FALSE;
16.225;16.22;5;Niveau 5;TRUE;Pelouses dunaires du Mesobromion
16.226;16.22;5;Niveau 5;TRUE;Lisières des dunes thermophiles
16.227;16.22;5;Niveau 5;TRUE;Groupements dunaires à plantes annuelles
16.228;16.22;5;Niveau 5;TRUE;Groupements dunaires à Malcolmia
16.229;16.22;5;Niveau 5;TRUE;Pelouses dunaires méditerranéennes xériques
16.22A;16.22;5;Niveau 5;FALSE;
16.23;16.2;4;Niveau 4;FALSE;
16.24;16.2;4;Niveau 4;TRUE;Dunes brunes à bruyère
16.241;16.24;5;Niveau 5;FALSE;
16.242;16.24;5;Niveau 5;TRUE;Dunes françaises à bruyère
16.243;16.24;5;Niveau 5;FALSE;
16.244;16.24;5;Niveau 5;TRUE;Dunes françaises à bruyère cendrée
16.245;16.24;5;Niveau 5;TRUE;Dunes françaises à bruyère ciliée
16.246;16.24;5;Niveau 5;FALSE;
16.247;16.24;5;Niveau 5;FALSE;
16.25;16.2;4;Niveau 4;TRUE;Dunes avec fourrés, bosquets
16.251;16.25;5;Niveau 5;TRUE;Fourrés dunaires à Argousier
16.252;16.25;5;Niveau 5;TRUE;Fourrés dunaires mixtes
16.26;16.2;4;Niveau 4;TRUE;Dunes à Salix arenaria
16.27;16.2;4;Niveau 4;TRUE;Dunes à genévrier
16.271;16.27;5;Niveau 5;TRUE;Fourrés dunaires à genévrier oxycèdre
16.272;16.27;5;Niveau 5;TRUE;Bois à Juniperetum lyciae
16.273;16.27;5;Niveau 5;FALSE;
16.274;16.27;5;Niveau 5;FALSE;
16.28;16.2;4;Niveau 4;TRUE;Fourrés dunaires à sclérophylles
16.29;16.2;4;Niveau 4;TRUE;Dunes boisées
16.3;16;3;Niveau 3;TRUE;Lettes dunaires humides (= Pannes humides, = Dépressions humides intradunales)
16.31;16.3;4;Niveau 4;TRUE;Mares des lettes dunaires
16.32;16.3;4;Niveau 4;TRUE;Gazons pionniers des lettes ou pannes humides
16.33;16.3;4;Niveau 4;TRUE;Bas-marais des pannes humides
16.34;16.3;4;Niveau 4;TRUE;Prairies des lettes ou pannes humides
16.35;16.3;4;Niveau 4;TRUE;Roselières et cariçaies des lettes dunaires
17;1;2;Niveau 2;TRUE;Plages de galets
17.1;17;3;Niveau 3;TRUE;Plages de galets sans végétation
17.2;17;3;Niveau 3;TRUE;Végétation annuelle des laisses de mer sur plages de galets
17.3;17;3;Niveau 3;TRUE;Végétation vivace des bancs de galets à Crambe
17.31;17.3;4;Niveau 4;FALSE;
17.32;17.3;4;Niveau 4;TRUE;Groupements à Crambe de la Manche
17.33;17.3;4;Niveau 4;TRUE;Groupements à Crambe de l'Atlantique
17.4;17;3;Niveau 3;TRUE;Prairies et landes des bancs de galets
17.41;17.4;4;Niveau 4;TRUE;Pelouses à Avoine élevée sur bancs de galets
17.42;17.4;4;Niveau 4;TRUE;Landes à Genêt à balais sur bancs de galets
18;1;2;Niveau 2;TRUE;Côtes rocheuses et falaises maritimes
18.1;18;3;Niveau 3;TRUE;Falaises maritimes nues
18.11;18.1;4;Niveau 4;TRUE;Rochers et falaises de la frange médiolittorale
18.12;18.1;4;Niveau 4;TRUE;Rochers de l'étage médiolittoral inférieur
18.13;18.1;4;Niveau 4;TRUE;Rochers de l'étage médiolittoral supérieur
18.14;18.1;4;Niveau 4;TRUE;Surplombs, crevasses et grottes de l'étage médiolittoral
18.15;18.1;4;Niveau 4;TRUE;Mares permanentes des rochers de l'étage médiolittoral
18.16;18.1;4;Niveau 4;TRUE;Rochers de l'étage supralittoral
18.17;18.1;4;Niveau 4;TRUE;Flaques des rochers de l'étage supralittoral
18.2;18;3;Niveau 3;TRUE;Côtes rocheuses et falaises avec végétation
18.21;18.2;4;Niveau 4;TRUE;Groupements des falaises atlantiques
18.22;18.2;4;Niveau 4;TRUE;Groupements des falaises méditerranéennes
18.23;18.2;4;Niveau 4;FALSE;
18.24;18.2;4;Niveau 4;FALSE;
18.3;18;3;Niveau 3;FALSE;
19;1;2;Niveau 2;TRUE;Ilots, bancs rocheux et récifs
1A;1;2;Niveau 2;FALSE;
2;;1;Niveau 1;TRUE;Milieux aquatiques non marins
21;2;2;Niveau 2;TRUE;Lagunes
22;2;2;Niveau 2;TRUE;Eaux douces stagnantes
22.1;22;3;Niveau 3;TRUE;Eaux douces
22.11;22.1;4;Niveau 4;TRUE;Eaux oligotrophes pauvres en calcaire
22.12;22.1;4;Niveau 4;TRUE;Eaux mésotrophes
22.13;22.1;4;Niveau 4;TRUE;Eaux eutrophes
22.14;22.1;4;Niveau 4;TRUE;Eaux dystrophes
22.15;22.1;4;Niveau 4;TRUE;Eaux oligo-mésotrophes riches en calcaire
22.2;22;3;Niveau 3;TRUE;Galets ou vasières non végétalisés
22.3;22;3;Niveau 3;TRUE;Communautés amphibies
22.31;22.3;4;Niveau 4;TRUE;Communautés amphibies pérennes septentrionales
22.311;22.31;5;Niveau 5;TRUE;Gazons de Littorelles, étangs à Lobélies, gazons d'Isoètes
22.3111;22.311;6;Niveau 6;TRUE;Gazons de Littorelles
22.3112;22.311;6;Niveau 6;TRUE;Etangs à Lobélies
22.3113;22.311;6;Niveau 6;TRUE;Gazons d'Isoètes euro-sibériens
22.3114;22.311;6;Niveau 6;TRUE;Communautés flottantes de Sparganium
22.312;22.31;5;Niveau 5;TRUE;Gazons à Eleocharis en eaux peu profondes
22.313;22.31;5;Niveau 5;TRUE;Gazons des bordures d'étangs acides en eaux peu profondes
22.314;22.31;5;Niveau 5;TRUE;Gazons des berges tourbeuses en eaux peu profondes
22.315;22.31;5;Niveau 5;TRUE;Gazons à Canche des rivages
22.3151;22.315;6;Niveau 6;TRUE;Gazons péri-alpins à Canche des rivages
22.3152;22.315;6;Niveau 6;FALSE;
22.32;22.3;4;Niveau 4;TRUE;Gazons amphibies annuels septentrionaux
22.321;22.32;5;Niveau 5;TRUE;Communautés à Eleocharis
22.322;22.32;5;Niveau 5;TRUE;Gazons de plantes pionnières des lettes dunaires
22.323;22.32;5;Niveau 5;TRUE;Communautés naines à Juncus bufonius
22.3231;22.323;6;Niveau 6;TRUE;Gazons à Juncus bufonius
22.3232;22.323;6;Niveau 6;TRUE;Gazons à petits Souchets
22.3233;22.323;6;Niveau 6;TRUE;Communautés d'herbes naines des substrats humides
22.33;22.3;4;Niveau 4;TRUE;Groupements à Bidens tripartitus
22.34;22.3;4;Niveau 4;TRUE;Groupements amphibies méridionaux
22.341;22.34;5;Niveau 5;TRUE;Petits gazons amphibies méditerranéens
22.3411;22.341;6;Niveau 6;TRUE;Groupements terrestres à Isoètes
22.3412;22.341;6;Niveau 6;TRUE;Gazons méditerranéens aquatiques à Isoètes
22.3413;22.341;6;Niveau 6;FALSE;
22.3414;22.341;6;Niveau 6;TRUE;Gazons méditerranéens à Cyperus
22.3415;22.341;6;Niveau 6;TRUE;Gazons méditerranéens à Fimbristylis
22.3416;22.341;6;Niveau 6;FALSE;
22.3417;22.341;6;Niveau 6;TRUE;Groupements à Spiranthes et Anagallis
22.3418;22.341;6;Niveau 6;TRUE;Groupements méditerranéens amphibies à plantes de taille réduite
22.342;22.34;5;Niveau 5;TRUE;Grands gazons méditerranéens amphibies
22.343;22.34;5;Niveau 5;TRUE;Gazons méditerranéens amphibies halo-nitrophiles
22.344;22.34;5;Niveau 5;TRUE;Prairies à Serapias
22.4;22;3;Niveau 3;TRUE;Végétations aquatiques
22.41;22.4;4;Niveau 4;TRUE;Végétations flottant librement
22.411;22.41;5;Niveau 5;TRUE;Couvertures de Lemnacées
22.412;22.41;5;Niveau 5;TRUE;Radeaux d'Hydrocharis
22.413;22.41;5;Niveau 5;TRUE;Radeaux de Stratiotes
22.414;22.41;5;Niveau 5;TRUE;Colonies d'Utriculaires
22.415;22.41;5;Niveau 5;TRUE;Couvertures de Salvinia
22.416;22.41;5;Niveau 5;TRUE;Groupements à Aldrovanda
22.42;22.4;4;Niveau 4;TRUE;Végétations enracinées immergées
22.421;22.42;5;Niveau 5;TRUE;Groupements de grands Potamots
22.422;22.42;5;Niveau 5;TRUE;Groupements de petits Potamots
22.43;22.4;4;Niveau 4;TRUE;Végétations enracinées flottantes
22.431;22.43;5;Niveau 5;TRUE;Tapis flottant de végétaux à grandes feuilles
22.4311;22.431;6;Niveau 6;TRUE;Tapis de Nénuphars
22.4312;22.431;6;Niveau 6;TRUE;Tapis de chataîgnes d'eau
22.4313;22.431;6;Niveau 6;TRUE;Tapis de Nymphoides
22.4314;22.431;6;Niveau 6;TRUE;Tapis de Potamot flottant
22.4315;22.431;6;Niveau 6;TRUE;Tapis de Renouées
22.432;22.43;5;Niveau 5;TRUE;Communautés flottantes des eaux peu profondes
22.433;22.43;5;Niveau 5;TRUE;Groupements oligotrophes de Potamots
22.44;22.4;4;Niveau 4;TRUE;Tapis immergés de Characées
22.441;22.44;5;Niveau 5;TRUE;Tapis de Chara
22.442;22.44;5;Niveau 5;TRUE;Tapis de Nitella
22.45;22.4;4;Niveau 4;TRUE;Mares de tourbières à Sphaignes et Utriculaires
22.5;22;3;Niveau 3;TRUE;Masses d'eau temporaires
23;2;2;Niveau 2;TRUE;Eaux stagnantes, saumâtres et salées
23.1;23;3;Niveau 3;TRUE;Eaux saumâtres ou salées sans végétation
23.11;23.1;4;Niveau 4;TRUE;Eau libre sans tapis de Charophytes
23.12;23.1;4;Niveau 4;TRUE;Tapis algual de Charophyte
23.2;23;3;Niveau 3;TRUE;Eaux saumâtres ou salées végétalisées
23.21;23.2;4;Niveau 4;TRUE;Formations immergées des eaux saumâtres ou salées
23.211;23.21;5;Niveau 5;TRUE;Groupements à Ruppia
23.212;23.21;5;Niveau 5;TRUE;Communautés lagunaires de végétation marine
23.22;23.2;4;Niveau 4;TRUE;Scirpaies naines lagunaires
24;2;2;Niveau 2;TRUE;Eaux courantes
24.1;24;3;Niveau 3;TRUE;Lits des rivières
24.11;24.1;4;Niveau 4;TRUE;Ruisselets
24.12;24.1;4;Niveau 4;TRUE;Zone à Truites
24.13;24.1;4;Niveau 4;TRUE;Zone à Ombres
24.14;24.1;4;Niveau 4;TRUE;Zone à Barbeaux
24.15;24.1;4;Niveau 4;TRUE;Zone à Brèmes
24.16;24.1;4;Niveau 4;TRUE;Cours d'eau intermittents
24.2;24;3;Niveau 3;TRUE;Bancs de graviers des cours d'eau
24.21;24.2;4;Niveau 4;TRUE;Bancs de graviers sans végétation
24.22;24.2;4;Niveau 4;TRUE;Bancs de graviers végétalisés
24.221;24.22;5;Niveau 5;TRUE;Groupements d'Epilobes des rivières subalpines
24.222;24.22;5;Niveau 5;TRUE;Groupements alpins des bancs de graviers
24.223;24.22;5;Niveau 5;TRUE;Broussailles de Saules et de Myricaire germanique
24.224;24.22;5;Niveau 5;TRUE;Fourrés et bois des bancs de graviers
24.225;24.22;5;Niveau 5;TRUE;Lits de graviers méditerranéens
24.226;24.22;5;Niveau 5;TRUE;Graviers des rivières de plaine
24.3;24;3;Niveau 3;TRUE;Bancs de sable des rivières
24.31;24.3;4;Niveau 4;TRUE;Bancs de sable des rivières sans végétation
24.32;24.3;4;Niveau 4;TRUE;Bancs de sable riverains pourvus de végétation
24.4;24;3;Niveau 3;TRUE;Végétation immergée des rivières
24.41;24.4;4;Niveau 4;TRUE;Végétation des rivières oligotrophes acidiphiles
24.42;24.4;4;Niveau 4;TRUE;Végétation des rivières oligotrophes riches en calcaire
24.43;24.4;4;Niveau 4;TRUE;Végétation des rivières mésotrophes
24.44;24.4;4;Niveau 4;TRUE;Végétation des rivières eutrophes
24.5;24;3;Niveau 3;TRUE;Dépôts d'alluvions fluviatiles limoneuses
24.51;24.5;4;Niveau 4;TRUE;Dépôts nus d'alluvions fluviatiles limoneuses
24.52;24.5;4;Niveau 4;TRUE;Groupements euro-sibériens annuels des vases fluviatiles
24.53;24.5;4;Niveau 4;TRUE;Groupements méditerranéens des limons riverains
3;;1;Niveau 1;TRUE;Landes, fruticées, pelouses et prairies
31;3;2;Niveau 2;TRUE;Landes et fruticées
31.1;31;3;Niveau 3;TRUE;Landes humides
31.11;31.1;4;Niveau 4;TRUE;Landes humides atlantiques septentrionales
31.12;31.1;4;Niveau 4;TRUE;Landes humides atlantiques méridionales
31.13;31.1;4;Niveau 4;TRUE;Landes humides à Molinia caerulea
31.2;31;3;Niveau 3;TRUE;Landes sèches
31.21;31.2;4;Niveau 4;TRUE;Landes submontagnardes à Vaccinium
31.211;31.21;5;Niveau 5;FALSE;
31.212;31.21;5;Niveau 5;FALSE;
31.2121;31.212;6;Niveau 6;FALSE;
31.2122;31.212;6;Niveau 6;FALSE;
31.2123;31.212;6;Niveau 6;FALSE;
31.2124;31.212;6;Niveau 6;FALSE;
31.2125;31.212;6;Niveau 6;FALSE;
31.2126;31.212;6;Niveau 6;FALSE;
31.2127;31.212;6;Niveau 6;FALSE;
31.2128;31.212;6;Niveau 6;FALSE;
31.213;31.21;5;Niveau 5;TRUE;Landes hercyniennes à Vaccinium
31.214;31.21;5;Niveau 5;TRUE;Landes submontagnardes alpiennes à Vaccinium
31.215;31.21;5;Niveau 5;TRUE;Landes sub-montagnardes pyrénéo-cantabriques à Vaccinium
31.22;31.2;4;Niveau 4;TRUE;Landes sub-atlantiques à Genêt et Callune
31.221;31.22;5;Niveau 5;FALSE;
31.222;31.22;5;Niveau 5;FALSE;
31.223;31.22;5;Niveau 5;TRUE;Landes campino-flandriennes à Callune et Genêt
31.224;31.22;5;Niveau 5;TRUE;Landes campino-flandriennes à Erica cinerea
31.225;31.22;5;Niveau 5;FALSE;
31.2251;31.225;6;Niveau 6;FALSE;
31.2252;31.225;6;Niveau 6;FALSE;
31.2253;31.225;6;Niveau 6;FALSE;
31.2254;31.225;6;Niveau 6;FALSE;
31.2255;31.225;6;Niveau 6;FALSE;
31.2256;31.225;6;Niveau 6;FALSE;
31.2257;31.225;6;Niveau 6;FALSE;
31.2258;31.225;6;Niveau 6;FALSE;
31.226;31.22;5;Niveau 5;TRUE;Landes montagnardes à Calluna et Genista
31.227;31.22;5;Niveau 5;TRUE;Landes à Empetrum nigrum
31.228;31.22;5;Niveau 5;FALSE;
31.229;31.22;5;Niveau 5;FALSE;
31.22A;31.22;5;Niveau 5;TRUE;Landes à Genista sagittalis
31.23;31.2;4;Niveau 4;TRUE;Landes atlantiques à Erica et Ulex
31.231;31.23;5;Niveau 5;TRUE;Landes à Ulex maritimus
31.232;31.23;5;Niveau 5;FALSE;
31.233;31.23;5;Niveau 5;FALSE;
31.234;31.23;5;Niveau 5;TRUE;Landes septentrionales à Erica vagans
31.2341;31.234;6;Niveau 6;TRUE;Landes armoricaines à Erica vagans
31.2342;31.234;6;Niveau 6;FALSE;
31.23421;31.2342;7;Niveau 7;FALSE;
31.23422;31.2342;7;Niveau 7;FALSE;
31.235;31.23;5;Niveau 5;TRUE;Landes anglo-armoricaines occidentales à Ajoncs
31.2351;31.235;6;Niveau 6;TRUE;Landes anglo-armoricaines à Ulex gallii et Erica cinerea
31.2352;31.235;6;Niveau 6;TRUE;Landes anglo-armoricaines à Ulex gallii et Erica ciliaris
31.2353;31.235;6;Niveau 6;TRUE;Landes anglo-armoricaines à Ulex gallii et Calluna
31.2354;31.235;6;Niveau 6;FALSE;
31.236;31.23;5;Niveau 5;TRUE;Landes pyrénéo-cantabriques à Erica mackaiana et E. ciliaris
31.237;31.23;5;Niveau 5;TRUE;Landes pyrénéo-cantabriques à Erica vagans et Erica cinerea
31.238;31.23;5;Niveau 5;TRUE;Landes anglo-normandes à Ajoncs nains
31.2381;31.238;6;Niveau 6;TRUE;Landes anglo-normandes à Ulex minor et Erica cinerea
31.2382;31.238;6;Niveau 6;TRUE;Landes anglo-normandes à Ulex minor et Erica ciliaris
