CD_EUNIS;CD_EUNIS_SUP;LEVEL;LB_LEVEL;France_av;FRANCE;LB_EUNIS_FR;DESCRIPTION_FR;label
A1.1222;A1.122;6;Niveau 6;TRUE;TRUE;;;[Corallina officinalis], [Himanthalia elongata] and [Patella ulyssiponensis] on very exposed lower eulittoral rock
A1.123;A1.12;5;Niveau 5;TRUE;TRUE;;;[Himanthalia elongata] and red seaweeds on exposed lower eulittoral rock
A1.124;A1.12;5;Niveau 5;TRUE;TRUE;;;[Palmaria palmata] on very exposed to moderately exposed lower eulittoral rock
A1.125;A1.12;5;Niveau 5;TRUE;TRUE;;;[Mastocarpus stellatus] and [Chondrus crispus] on very exposed to moderately exposed lower eulittoral rock
A1.126;A1.12;5;Niveau 5;TRUE;TRUE;;;[Osmundea pinnatifida] on moderately exposed mid eulittoral rock
A1.127;A1.12;5;Niveau 5;TRUE;TRUE;;;[Ceramium] sp. and piddocks on eulittoral fossilised peat
A1.13;A1.1;4;Niveau 4;TRUE;TRUE;;;Mediterranean and Black Sea communities of upper mediolittoral rock
A1.131;A1.13;5;Niveau 5;TRUE;TRUE;;;Association with [Bangia atropurpurea]
A1.132;A1.13;5;Niveau 5;TRUE;TRUE;;;Association with [Porphyra leucosticta]
A1.133;A1.13;5;Niveau 5;TRUE;TRUE;;;Association with [Nemalion helminthoides] and [Rissoella verruculosa]
A1.134;A1.13;5;Niveau 5;TRUE;TRUE;;;Association with [Lithophyllum papillosum] and [Polysiphonia] spp.
A1.14;A1.1;4;Niveau 4;TRUE;TRUE;;;Mediterranean and Black Sea communities of lower mediolittoral rock very exposed to wave action
A1.141;A1.14;5;Niveau 5;TRUE;TRUE;;;Association with [Lithophyllum byssoides]
A1.142;A1.14;5;Niveau 5;TRUE;TRUE;;;Facies with [Pollicipes cornucopiae]
A1.143;A1.14;5;Niveau 5;TRUE;TRUE;;;Association with [Titanoderma trochanter ]
A1.144;A1.14;5;Niveau 5;TRUE;TRUE;;;Association with [Tenarea undulosa]
A1.145;A1.14;5;Niveau 5;FALSE;TRUE;;;[Mytilus galloprovincialis] facies in presence of moderately polluted waters
A1.15;A1.1;4;Niveau 4;TRUE;TRUE;;;Fucoids in tide-swept conditions
A1.151;A1.15;5;Niveau 5;TRUE;TRUE;;;[Ascophyllum nodosum], sponges and ascidians on tide-swept mid eulittoral rock
A1.152;A1.15;5;Niveau 5;TRUE;TRUE;;;[Fucus serratus], sponges and ascidians on tide-swept lower eulittoral rock
A1.153;A1.15;5;Niveau 5;TRUE;TRUE;;;[Fucus serratus] with sponges, ascidians and red seaweeds on tide-swept lower eulittoral mixed substrata
A1.16;A1.1;4;Niveau 4;FALSE;FALSE;;;Pontic communities of exposed mediolittoral rock
A1.161;A1.16;5;Niveau 5;FALSE;FALSE;;;Pontic upper shore with [Chthamalus], [Ligia], [Melaraphe],  [Rivularia] (cyanophites)
A1.162;A1.16;5;Niveau 5;FALSE;FALSE;;;Pontic upper mediolittoral with [Mytilaster] spp, [Mytilus] spp., [Enteromorpha minima], [Enteromorpha compressa]
A1.163;A1.16;5;Niveau 5;FALSE;FALSE;;;Pontic ephemeral patchwork of green and red algae with [Mytilaster] and [Mytilus]
A1.164;A1.16;5;Niveau 5;FALSE;FALSE;;;Pontic association with encrusting algae and [Lepidochitona caprearum]
A1.165;A1.16;5;Niveau 5;FALSE;FALSE;;;Pontic [Corallina] turfs on exposed to moderately exposed mediolittoral rock
A1.166;A1.16;5;Niveau 5;FALSE;FALSE;;;Pontic mediolittoral barren rock scoured by sand
A1.2;A1;3;Niveau 3;TRUE;TRUE;;;Moderate energy littoral rock
A1.21;A1.2;4;Niveau 4;TRUE;TRUE;;;Barnacles and fucoids on moderately exposed shores
A1.211;A1.21;5;Niveau 5;TRUE;TRUE;;;[Pelvetia canaliculata] and barnacles on moderately exposed littoral fringe rock
A1.212;A1.21;5;Niveau 5;TRUE;TRUE;;;[Fucus spiralis] on full salinity exposed to moderately exposed upper eulittoral rock
A1.213;A1.21;5;Niveau 5;TRUE;TRUE;;;[Fucus vesiculosus] and barnacle mosaics on moderately exposed mid eulittoral rock
A1.214;A1.21;5;Niveau 5;TRUE;TRUE;;;[Fucus serratus] on moderately exposed lower eulittoral rock
A1.2141;A1.214;6;Niveau 6;TRUE;TRUE;;;[Fucus serratus] and red seaweeds on moderately exposed lower eulittoral rock
A1.2142;A1.214;6;Niveau 6;TRUE;TRUE;;;[Fucus serratus] and under-boulder fauna on exposed to moderately exposed lower eulittoral boulders
A1.2143;A1.214;6;Niveau 6;TRUE;TRUE;;;[Fucus serratus] and piddocks on lower eulittoral soft rock
A1.215;A1.21;5;Niveau 5;TRUE;TRUE;;;[Rhodothamniella floridula] on sand-scoured lower eulittoral rock
A1.22;A1.2;4;Niveau 4;TRUE;TRUE;;;Mussels and fucoids on moderately exposed shores
A1.221;A1.22;5;Niveau 5;TRUE;TRUE;;;[Mytilus edulis] and [Fucus vesiculosus] on moderately exposed mid eulittoral rock
A1.222;A1.22;5;Niveau 5;TRUE;TRUE;;;[Mytilus edulis], [Fucus serratus] and red seaweeds on moderately exposed lower eulittoral rock
A1.223;A1.22;5;Niveau 5;TRUE;TRUE;;;[Mytilus edulis] and piddocks on eulittoral firm clay
A1.23;A1.2;4;Niveau 4;TRUE;TRUE;;;Mediterranean communities of lower mediolittoral rock moderately exposed to wave action
A1.231;A1.23;5;Niveau 5;TRUE;TRUE;;;Association with [Ceramium ciliatum] and [Corallina elongata]
A1.232;A1.23;5;Niveau 5;TRUE;TRUE;;;[Neogoniolithon brassica-florida] concretion
A1.233;A1.23;5;Niveau 5;TRUE;TRUE;;;Association with [Gelidium] spp
A1.234;A1.23;5;Niveau 5;TRUE;TRUE;;;Pools and lagoons sometimes associated with [Vermetus] spp. (infralittoral enclave)
A1.24;A1.2;4;Niveau 4;FALSE;FALSE;;;Pontic communities of lower mediolittoral rock moderately exposed to wave action
A1.241;A1.24;5;Niveau 5;FALSE;FALSE;;;Pontic association with [Enteromorpha intestinalis]
A1.242;A1.24;5;Niveau 5;FALSE;FALSE;;;Pontic association with [Cladophora vagabunda]
A1.243;A1.24;5;Niveau 5;FALSE;FALSE;;;Pontic association with [Ceramium rubrum]
A1.3;A1;3;Niveau 3;TRUE;TRUE;;;Low energy littoral rock
A1.31;A1.3;4;Niveau 4;TRUE;TRUE;;;Fucoids on sheltered marine shores
A1.311;A1.31;5;Niveau 5;TRUE;TRUE;;;[Pelvetia canaliculata] on sheltered littoral fringe rock
A1.312;A1.31;5;Niveau 5;TRUE;TRUE;;;[Fucus spiralis] on sheltered upper eulittoral rock
A1.3121;A1.312;6;Niveau 6;TRUE;TRUE;;;[Fucus spiralis] on full salinity sheltered upper eulittoral rock
A1.3122;A1.312;6;Niveau 6;TRUE;TRUE;;;[Fucus spiralis] on full salinity upper eulittoral mixed substrata
A1.313;A1.31;5;Niveau 5;TRUE;TRUE;;;[Fucus vesiculosus] on moderately exposed to sheltered mid eulittoral rock
A1.3131;A1.313;6;Niveau 6;TRUE;TRUE;;;[Fucus vesiculosus] on full salinity moderately exposed to sheltered mid eulittoral rock
A1.3132;A1.313;6;Niveau 6;TRUE;TRUE;;;[Fucus vesiculosus] on mid eulittoral mixed substrata
A1.314;A1.31;5;Niveau 5;TRUE;TRUE;;;[Ascophyllum nodosum] on very sheltered mid eulittoral rock
A1.3141;A1.314;6;Niveau 6;TRUE;TRUE;;;[Ascophyllum nodosum] on full salinity mid eulittoral rock
A1.3142;A1.314;6;Niveau 6;TRUE;TRUE;;;[Ascophyllum nodosum] on full salinity mid eulittoral mixed substrata
A1.315;A1.31;5;Niveau 5;TRUE;TRUE;;;[Fucus serratus] on sheltered lower eulittoral rock
A1.3151;A1.315;6;Niveau 6;TRUE;TRUE;;;[Fucus serratus] on full salinity sheltered lower eulittoral rock
A1.3152;A1.315;6;Niveau 6;TRUE;TRUE;;;[Fucus serratus] on full salinity lower eulittoral mixed substrata
A1.316;A1.31;5;Niveau 5;TRUE;TRUE;;;Association with [Fucus virsoides]
A1.32;A1.3;4;Niveau 4;TRUE;TRUE;;;Fucoids in variable salinity
A1.321;A1.32;5;Niveau 5;TRUE;TRUE;;;[Pelvetia canaliculata] on sheltered variable salinity littoral fringe rock
A1.322;A1.32;5;Niveau 5;TRUE;TRUE;;;[Fucus spiralis] on sheltered variable salinity upper eulittoral rock
A1.323;A1.32;5;Niveau 5;TRUE;TRUE;;;[Fucus vesiculosus] on variable salinity mid eulittoral boulders and stable mixed substrata
A1.324;A1.32;5;Niveau 5;TRUE;TRUE;;;[Ascophyllum nodosum] and [Fucus vesiculosus] on variable salinity mid eulittoral rock
A1.325;A1.32;5;Niveau 5;TRUE;TRUE;;;[Ascophyllum nodosum] ecad. [mackaii] beds on extremely sheltered mid eulittoral mixed substrata
A1.326;A1.32;5;Niveau 5;TRUE;TRUE;;;[Fucus serratus] and large [Mytilus edulis] on variable salinity lower eulittoral rock
A1.327;A1.32;5;Niveau 5;TRUE;TRUE;;;[Fucus ceranoides] on reduced salinity eulittoral rock
A1.33;A1.3;4;Niveau 4;TRUE;TRUE;;;Red algal turf in lower eulittoral, sheltered from wave action
A1.34;A1.3;4;Niveau 4;TRUE;TRUE;;;Mediterranean communities of lower mediolittoral rock sheltered from wave action
A1.341;A1.34;5;Niveau 5;TRUE;TRUE;;;Association with [Enteromorpha compressa]
A1.4;A1;3;Niveau 3;TRUE;TRUE;;;Features of littoral rock
A1.4A;A1.4;4;Niveau 4;TRUE;FALSE;;;Hydrolittoral peat
A1.4B;A1.4;4;Niveau 4;TRUE;FALSE;;;Pontic sulphide vents in littoral rock
A1.41;A1.4;4;Niveau 4;TRUE;TRUE;;;Communities of littoral rockpools
A1.411;A1.41;5;Niveau 5;TRUE;TRUE;;;Coralline crust-dominated shallow eulittoral rockpools
A1.4111;A1.411;6;Niveau 6;TRUE;TRUE;;;Coralline crusts and [Corallina officinalis] in shallow eulittoral rockpools
A1.4112;A1.411;6;Niveau 6;TRUE;TRUE;;;Coralline crusts and [Paracentrotus lividus] in shallow eulittoral rockpools
A1.4113;A1.411;6;Niveau 6;TRUE;TRUE;;;[Bifurcaria bifurcata] in shallow eulittoral rockpools
A1.4114;A1.411;6;Niveau 6;TRUE;TRUE;;;[Cystoseira] spp. in eulittoral rockpools
A1.412;A1.41;5;Niveau 5;TRUE;TRUE;;;Fucoids and kelp in deep eulittoral rockpools
A1.4121;A1.412;6;Niveau 6;TRUE;TRUE;;;[Sargassum muticum] in eulittoral rockpools
A1.413;A1.41;5;Niveau 5;FALSE;TRUE;;;Seaweeds in sediment-floored eulittoral rockpools
A1.414;A1.41;5;Niveau 5;TRUE;TRUE;;;Hydroids, ephemeral seaweeds and [Littorina littorea] in shallow eulittoral mixed substrata pools
A1.415;A1.41;5;Niveau 5;TRUE;FALSE;;;Pontic eulittoral rockpools with green seaweeds ([Cladophora], [Ulva], [Enteromorpha]), [Mytilus], [Mytilaster], [Polybius], [Pachygrapsus] and small fish
A1.42;A1.4;4;Niveau 4;FALSE;TRUE;;;Communities of rockpools in the supralittoral zone
A1.421;A1.42;5;Niveau 5;TRUE;TRUE;;;Green seaweeds ([Enteromorpha] spp. and [Cladophora] spp.) in shallow upper shore rockpools
A1.422;A1.42;5;Niveau 5;TRUE;FALSE;;;Pontic deep upper shore rockpools with [Mytilus] and [Pachygrapsus] juveniles
A1.43;A1.4;4;Niveau 4;TRUE;TRUE;;;Brackish permanent pools in the geolittoral zone
A1.431;A1.43;5;Niveau 5;TRUE;TRUE;;;Eutrophic brackish permanent pools in the geolittoral zone
A1.432;A1.43;5;Niveau 5;TRUE;TRUE;;;Mesotrophic brackish permanent pools in the geolittoral zone
A1.433;A1.43;5;Niveau 5;TRUE;TRUE;;;Oligotrophic brackish permanent pools in the geolittoral zone
A1.44;A1.4;4;Niveau 4;TRUE;TRUE;;;Communities of littoral caves and overhangs
A1.44A;A1.44;5;Niveau 5;TRUE;TRUE;;;Barren and/or boulder-scoured littoral cave walls and floors
A1.44B;A1.44;5;Niveau 5;TRUE;TRUE;;;Association with [Phymatolithon lenormandii] and [Hildenbrandia rubra]
A1.44C;A1.44;5;Niveau 5;TRUE;FALSE;;;Pontic mediolittoral caves with [Hildebrandia], [Phymatolithon], [Lithophyllum], bryozoans, [Pachygrapsus], [Eriphia]
A1.441;A1.44;5;Niveau 5;TRUE;TRUE;;;Chrysophyceae and Haptophyceae on vertical upper littoral fringe soft rock
A1.442;A1.44;5;Niveau 5;TRUE;TRUE;;;Green algal films on upper and mid-shore cave walls and ceilings
A1.443;A1.44;5;Niveau 5;TRUE;TRUE;;;[Audouinella purpurea] and [Pilinia maritima] crusts on upper and mid-shore cave walls and ceilings
A1.444;A1.44;5;Niveau 5;TRUE;TRUE;;;[Audouinella purpurea] and [Cladophora rupestris] on upper to mid-shore cave walls
A1.445;A1.44;5;Niveau 5;TRUE;TRUE;;;[Verrucaria mucosa] and/or [Hildenbrandia rubra] on upper to mid shore cave walls
A1.446;A1.44;5;Niveau 5;TRUE;TRUE;;;Sponges and shade-tolerant red seaweeds on overhanging lower eulittoral bedrock and in cave entrances
A1.4461;A1.446;6;Niveau 6;TRUE;TRUE;;;Sponges, shade-tolerant red seaweeds and [Dendrodoa grossularia] on wave-surged overhanging lower eulittoral bedrock and caves
A1.447;A1.44;5;Niveau 5;FALSE;TRUE;;;Sponges, bryozoans and ascidians on deeply overhanging lower shore bedrock or caves
A1.448;A1.44;5;Niveau 5;TRUE;TRUE;;;Faunal crusts on wave-surged littoral cave walls
A1.449;A1.44;5;Niveau 5;TRUE;TRUE;;;Sparse fauna (barnacles and spirorbids) on sand/pebble-scoured rock in littoral caves
A1.45;A1.4;4;Niveau 4;TRUE;TRUE;;;Ephemeral green or red seaweeds (freshwater or sand-influenced) on non-mobile substrata
A1.451;A1.45;5;Niveau 5;TRUE;TRUE;;;[Enteromorpha] spp. on freshwater-influenced and/or unstable upper eulittoral rock
A1.452;A1.45;5;Niveau 5;TRUE;TRUE;;;[Porphyra purpurea] or [Enteromorpha] spp. on sand-scoured mid or lower eulittoral rock
A1.46;A1.4;4;Niveau 4;TRUE;FALSE;;;Hydrolittoral soft rock
A1.461;A1.46;5;Niveau 5;TRUE;FALSE;;;Hydrolittoral soft rock: level bottoms with little or no macrophyte vegetation
A1.462;A1.46;5;Niveau 5;TRUE;FALSE;;;Hydrolittoral soft rock: level bottoms dominated by macrophyte vegetation
A1.463;A1.46;5;Niveau 5;TRUE;FALSE;;;Hydrolittoral soft rock: reefs
A1.47;A1.4;4;Niveau 4;TRUE;FALSE;;;Hydrolittoral solid rock (bedrock)
A1.471;A1.47;5;Niveau 5;TRUE;FALSE;;;Hydrolittoral solid rock (bedrock): level bottoms with little or no macrophyte vegetation
A1.472;A1.47;5;Niveau 5;TRUE;FALSE;;;Hydrolittoral solid rock (bedrock): level bottoms dominated by macrophyte vegetation
A1.473;A1.47;5;Niveau 5;TRUE;FALSE;;;Hydrolittoral solid rock (bedrock): reefs
A1.48;A1.4;4;Niveau 4;TRUE;FALSE;;;Hydrolittoral hard clay
A1.481;A1.48;5;Niveau 5;TRUE;FALSE;;;Hydrolittoral hard clay: level bottoms with little or no macrophyte vegetation
A1.49;A1.4;4;Niveau 4;TRUE;FALSE;;;Hydrolittoral mussel beds
A1.491;A1.49;5;Niveau 5;TRUE;FALSE;;;Hydrolittoral mussel beds: with little or no macrophyte vegetation
A1.492;A1.49;5;Niveau 5;FALSE;FALSE;;;Hydrolittoral mussel beds: dominated by macrophyte vegetation
A2;A;2;Niveau 2;TRUE;TRUE;;;Littoral sediment
A2.1;A2;3;Niveau 3;TRUE;TRUE;;;Littoral coarse sediment
A2.11;A2.1;4;Niveau 4;TRUE;TRUE;;;Shingle (pebble) and gravel shores
A2.111;A2.11;5;Niveau 5;TRUE;TRUE;;;Barren littoral shingle
A2.112;A2.11;5;Niveau 5;TRUE;TRUE;;;[Pectenogammarus planicrurus] in mid shore well-sorted gravel or coarse sand
A2.12;A2.1;4;Niveau 4;TRUE;TRUE;;;Estuarine coarse sediment shores
A2.13;A2.1;4;Niveau 4;TRUE;TRUE;;;Mediterranean communities of mediolittoral coarse detritic bottoms
A2.131;A2.13;5;Niveau 5;TRUE;TRUE;;;Facies of banks of dead leaves of [Posidonia oceanica] and other phanerogams
A2.132;A2.13;5;Niveau 5;FALSE;FALSE;;;Pontic mediolittoral gravel and shingle
A2.2;A2;3;Niveau 3;TRUE;TRUE;;;Littoral sand and muddy sand
A2.21;A2.2;4;Niveau 4;TRUE;TRUE;;;Strandline
A2.211;A2.21;5;Niveau 5;TRUE;TRUE;;;Talitrids on the upper shore and strandline
A2.212;A2.21;5;Niveau 5;TRUE;TRUE;;;[Mytilus edulis] and [Fabricia sabella] in littoral mixed sediment
A2.22;A2.2;4;Niveau 4;TRUE;TRUE;;;Barren or amphipod-dominated mobile sand shores
A2.221;A2.22;5;Niveau 5;TRUE;TRUE;;;Barren littoral coarse sand
A2.222;A2.22;5;Niveau 5;TRUE;TRUE;;;Oligochaetes in littoral mobile sand
A2.2221;A2.222;6;Niveau 6;TRUE;TRUE;;;Oligochaetes in full salinity littoral mobile sand
A2.2222;A2.222;6;Niveau 6;TRUE;TRUE;;;Oligochaetes in variable salinity littoral mobile sand
A2.223;A2.22;5;Niveau 5;TRUE;TRUE;;;Amphipods and [Scolelepis] spp. in littoral medium-fine sand
A2.2231;A2.223;6;Niveau 6;TRUE;TRUE;;;[Scolelepis] spp. in littoral mobile sand
A2.2232;A2.223;6;Niveau 6;TRUE;TRUE;;;[Eurydice pulchra] in littoral mobile sand
A2.2233;A2.223;6;Niveau 6;TRUE;TRUE;;;[Pontocrates arenarius] in littoral mobile sand
A2.23;A2.2;4;Niveau 4;TRUE;TRUE;;;Polychaete/amphipod-dominated fine sand shores
A2.231;A2.23;5;Niveau 5;TRUE;TRUE;;;Polychaetes in littoral fine sand
A2.2311;A2.231;6;Niveau 6;TRUE;TRUE;;;Polychaetes, including [Paraonis fulgens], in littoral fine sand
A2.2312;A2.231;6;Niveau 6;TRUE;TRUE;;;Polychaetes and [Angulus tenuis] in littoral fine sand
A2.2313;A2.231;6;Niveau 6;TRUE;TRUE;;;[Nephtys cirrosa]-dominated littoral fine sand
A2.24;A2.2;4;Niveau 4;TRUE;TRUE;;;Polychaete/bivalve-dominated muddy sand shores
A2.241;A2.24;5;Niveau 5;TRUE;TRUE;;;[Macoma balthica] and [Arenicola marina] in muddy sand shores
A2.242;A2.24;5;Niveau 5;TRUE;TRUE;;;[Cerastoderma edule] and polychaetes in littoral muddy sand
A2.243;A2.24;5;Niveau 5;TRUE;TRUE;;;[Hediste diversicolor], [Macoma balthica] and [Eteone longa] in littoral muddy sand
A2.244;A2.24;5;Niveau 5;TRUE;TRUE;;;[Bathyporeia pilosa] and [Corophium arenarium] in littoral muddy sand
A2.245;A2.24;5;Niveau 5;TRUE;TRUE;;;[Lanice conchilega] in littoral sand
A2.25;A2.2;4;Niveau 4;TRUE;TRUE;;;Mediterranean and Pontic communities of mediolittoral sands
A2.251;A2.25;5;Niveau 5;TRUE;TRUE;;;Facies with [Ophelia bicornis]
A2.26;A2.2;4;Niveau 4;FALSE;FALSE;;;Strictly Pontic communities of mediolittoral sands
A2.261;A2.26;5;Niveau 5;FALSE;FALSE;;;[Donacilla cornea] in medium-coarse mediolittoral sands
A2.262;A2.26;5;Niveau 5;FALSE;FALSE;;;[Pontogammarus maeoticus] in fine mediolittoral sands
A2.3;A2;3;Niveau 3;TRUE;TRUE;;;Littoral mud
A2.31;A2.3;4;Niveau 4;TRUE;TRUE;;;Polychaete/bivalve-dominated mid estuarine mud shores
A2.311;A2.31;5;Niveau 5;TRUE;TRUE;;;[Nephtys hombergii], [Macoma balthica] and [Streblospio shrubsolii] in littoral sandy mud
A2.312;A2.31;5;Niveau 5;TRUE;TRUE;;;[Hediste diversicolor] and [Macoma balthica] in littoral sandy mud
A2.313;A2.31;5;Niveau 5;TRUE;TRUE;;;[Hediste diversicolor], [Macoma balthica] and [Scrobicularia plana] in littoral sandy mud
A2.32;A2.3;4;Niveau 4;TRUE;TRUE;;;Polychaete/oligochaete-dominated upper estuarine mud shores
A2.321;A2.32;5;Niveau 5;TRUE;TRUE;;;[Nephtys hombergii] and [Streblospio shrubsolii] in littoral mud
A2.322;A2.32;5;Niveau 5;TRUE;TRUE;;;[Hediste diversicolor] in littoral mud
A2.3221;A2.322;6;Niveau 6;TRUE;TRUE;;;[Hediste diversicolor] and [Streblospio shrubsolii] in littoral sandy mud
A2.3222;A2.322;6;Niveau 6;TRUE;TRUE;;;[Hediste diversicolor] and [Corophium volutator] in littoral mud
A2.3223;A2.322;6;Niveau 6;TRUE;TRUE;;;[Hediste diversicolor] and oligochaetes in littoral mud
A2.323;A2.32;5;Niveau 5;TRUE;TRUE;;;[Tubificoides benedii] and other oligochaetes in littoral mud
A2.324;A2.32;5;Niveau 5;TRUE;TRUE;;;Saltmarsh pools
A2.325;A2.32;5;Niveau 5;TRUE;TRUE;;;Saltmarsh creeks
A2.3251;A2.325;6;Niveau 6;TRUE;TRUE;;;Erosion faces with [Carcinus maenas]
A2.326;A2.32;5;Niveau 5;FALSE;FALSE;;;Pontic polychaete dominated littoral muds
A2.327;A2.32;5;Niveau 5;FALSE;FALSE;;;Pontic oligochaete and chironomid dominated littoral muds
A2.328;A2.32;5;Niveau 5;FALSE;FALSE;;;"Pontic ""camca"" habitat of River Danube mouths"
A2.33;A2.3;4;Niveau 4;TRUE;TRUE;;;Marine mud shores
A2.4;A2;3;Niveau 3;TRUE;TRUE;;;Littoral mixed sediments
A2.41;A2.4;4;Niveau 4;TRUE;TRUE;;;[Hediste diversicolor] dominated gravelly sandy mud shores
A2.411;A2.41;5;Niveau 5;TRUE;TRUE;;;[Hediste diversicolor] in littoral gravelly muddy sand and gravelly sandy mud
A2.4111;A2.411;6;Niveau 6;TRUE;TRUE;;;[Hediste diversicolor] and [Macoma balthica] in littoral gravelly mud
A2.4112;A2.411;6;Niveau 6;TRUE;TRUE;;;[Hediste diversicolor] and [Scrobicularia plana] in littoral gravelly mud
A2.4113;A2.411;6;Niveau 6;TRUE;TRUE;;;[Hediste diversicolor] and [Streblospio shrubsolii] in littoral gravelly sandy mud
A2.4114;A2.411;6;Niveau 6;TRUE;TRUE;;;[Hediste diversicolor], cirratulids and [Tubificoides] spp. in littoral gravelly sandy mud
A2.4115;A2.411;6;Niveau 6;TRUE;TRUE;;;[Hediste diversicolor] and [Corophium volutator] in littoral gravelly sandy mud
A2.42;A2.4;4;Niveau 4;TRUE;TRUE;;;Species-rich mixed sediment shores
A2.421;A2.42;5;Niveau 5;TRUE;TRUE;;;Cirratulids and [Cerastoderma edule] in littoral mixed sediment
A2.43;A2.4;4;Niveau 4;TRUE;TRUE;;;Species-poor mixed sediment shores
A2.431;A2.43;5;Niveau 5;TRUE;TRUE;;;Barnacles and [Littorina] spp. on unstable eulittoral mixed substrata
A2.432;A2.43;5;Niveau 5;FALSE;FALSE;;;Pontic mixed sediment shores with ?????
A2.5;A2;3;Niveau 3;TRUE;TRUE;;;Coastal saltmarshes and saline reedbeds
A2.51;A2.5;4;Niveau 4;TRUE;TRUE;;;Saltmarsh driftlines
A2.51A;A2.51;5;Niveau 5;TRUE;TRUE;;;[Inula crithmoides] on saltmarshes
A2.51B;A2.51;5;Niveau 5;TRUE;TRUE;;;[Sagina maritima] ephemeral salt marsh in sand
A2.511;A2.51;5;Niveau 5;TRUE;TRUE;;;Atlantic saltmarsh and drift rough grass communities
A2.512;A2.51;5;Niveau 5;TRUE;TRUE;;;Atlantic saltmarsh driftline annual communities
A2.513;A2.51;5;Niveau 5;TRUE;TRUE;;;Mediterranean saltmarsh driftlines
A2.514;A2.51;5;Niveau 5;TRUE;TRUE;;;[Elymus pycnanthus] with [Suaeda vera] or [Inula crithmoides] saltmarsh driftlines
A2.515;A2.51;5;Niveau 5;TRUE;TRUE;;;[Elymus repens] saltmarsh driftlines
A2.516;A2.51;5;Niveau 5;TRUE;TRUE;;;[Suaeda vera] saltmarsh driftlines
A2.517;A2.51;5;Niveau 5;TRUE;TRUE;;;[Suaeda vera] - [Limonium binervosum] saltmarsh driftlines
A2.518;A2.51;5;Niveau 5;TRUE;TRUE;;;[Spergularia marina] - [Puccinellia distans] saltmarsh driftlines
A2.519;A2.51;5;Niveau 5;TRUE;TRUE;;;[Frankenia laevis] - [Halimione portulacoides] saltmarsh driftlines
A2.52;A2.5;4;Niveau 4;TRUE;TRUE;;;Upper saltmarshes
A2.52A;A2.52;5;Niveau 5;TRUE;FALSE;;;Western Pontic salt humid meadows
A2.521;A2.52;5;Niveau 5;TRUE;TRUE;;;Atlantic and Baltic brackish saltmarsh communities
A2.5211;A2.521;6;Niveau 6;FALSE;TRUE;;;Pearlwort-saltmarsh grass swards
A2.5212;A2.521;6;Niveau 6;FALSE;FALSE;;;Baltic [Carex paleacea] swards
A2.5213;A2.521;6;Niveau 6;FALSE;FALSE;;;Baltic [Carex mackenziei] swards
A2.5214;A2.521;6;Niveau 6;FALSE;FALSE;;;Baltic salt basin [Agrostis]-[Triglochin] swards
A2.5215;A2.521;6;Niveau 6;TRUE;FALSE;;;Baltic [Deschampsia bottnica] swards
A2.522;A2.52;5;Niveau 5;TRUE;TRUE;;;Mediterranean [Juncus maritimus] and [Juncus acutus] saltmarshes
A2.523;A2.52;5;Niveau 5;TRUE;TRUE;;;Mediterranean short [Juncus], [Carex], [Hordeum] and [Trifolium] saltmeadows
A2.524;A2.52;5;Niveau 5;TRUE;TRUE;;;Mediterranean [Elymus] or [Artemisia] stands
