Auteur;Date;Titre;Editeur;Auteur - Titre
Almquist E.;1929;Upplands vegetation och flora.;Acta phytogeographica Suecica 1, Almquist & Wiksells, Uppsala, 624 p.;Almquist E. - Upplands vegetation och flora. - 1929
André G. & André M.;2008;Le Pin à crochets (Pinus uncinata Ramond ex DC. Var. rotundata [Link] Antoine) des tourbières : preuves historiques de son indigénat dans le massif jurassien et dynamique des peuplements suite aux actions anthropozoogènes.;Les Nouvelles Archives de la Flore jurassienne 6: 57-110. ;André G. & André M. - Le Pin à crochets (Pinus uncinata Ramond ex DC. Var. rotundata [Link] Antoine) des tourbières : preuves historiques de son indigénat dans le massif jurassien et dynamique des peuplements suite aux actions anthropozoogènes. - 2008
Ansseau-Nyut C., Brisson S. & Gehu J.-M.;1983;Quelques observations préliminaires sur les groupements de bordure forestière dans les cantons de l'Est, au Québec;"Coll. Phytosoc. VIII, ""Les lisières forestières"", Lille 1979: 481-484";Ansseau-Nyut C., Brisson S. & Gehu J.-M. - Quelques observations préliminaires sur les groupements de bordure forestière dans les cantons de l'Est, au Québec - 1983
Archiloque A., Borel L. & Devaux J.-P.;1980;Notice explicative de la carte phytosociologique d'Allos au 50.000° (Feuille XXXV - 40).;Revue de Biologie - Ecologie méditerranéenne VIII(4): 211-248.;Archiloque A., Borel L. & Devaux J.-P. - Notice explicative de la carte phytosociologique d'Allos au 50.000° (Feuille XXXV - 40). - 1980
Arentz L., Wallossek C. & Werner D.J.;1986;Vegetation und kleinrelief auf em Plateau des Zanggenbergs (Provinz Trient, Norditalien);"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 825-845";Arentz L., Wallossek C. & Werner D.J. - Vegetation und kleinrelief auf em Plateau des Zanggenbergs (Provinz Trient, Norditalien) - 1986
Ariso M.T.P.;1983;Les lisières de forêts de feuillus dans la région de St Gervas;"Coll. Phytosoc. VIII, ""Les lisières forestières"", Lille 1979: 43-50";Ariso M.T.P. - Les lisières de forêts de feuillus dans la région de St Gervas - 1983
Asensi A. & Rivas-Martinez S.;1983;Sobre la vegetacion de los Rhamno-Prunetea spinosae en Andalucia (España);"Coll. Phytosoc. VIII, ""Les lisières forestières"", Lille 1979: 33-42";Asensi A. & Rivas-Martinez S. - Sobre la vegetacion de los Rhamno-Prunetea spinosae en Andalucia (España) - 1983
Asensi A., Diez-Garretas B. & Navarro P.;2000;Utilizacion de datos fitosociologicos en la evaluacion y restauracion del territorio. Sierra de Gador-Campo de Dalias (Almeria, España);"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 933-950";Asensi A., Diez-Garretas B. & Navarro P. - Utilizacion de datos fitosociologicos en la evaluacion y restauracion del territorio. Sierra de Gador-Campo de Dalias (Almeria, España) - 2000
Asensi A., Garretas B. D., Ferre E. & Osorio E. M.;1991;Application de la metodologia fitosociologica al analisis integrado del paisaje en el parque natural Sierra de la Nieve, Serrania de Ronda (Malaga, España);"Coll. Phytosoc. XVII, ""Phytosociologie et paysage"", Versailles 1988: 159-175";Asensi A., Garretas B. D., Ferre E. & Osorio E. M. - Application de la metodologia fitosociologica al analisis integrado del paisaje en el parque natural Sierra de la Nieve, Serrania de Ronda (Malaga, España) - 1991
Asensi A., Garretas B. D., Ferre E., Osorio E. M.;1991;Geomorphologia y vegetacion en el analisis del paisaje;"Coll. Phytosoc. XVII, ""Phytosociologie et paysage"", Versailles 1988: 483-496";Asensi A., Garretas B. D., Ferre E., Osorio E. M. - Geomorphologia y vegetacion en el analisis del paisaje - 1991
Aubert G., Barbero M., Loisel R.;1971;Les Callunaies dans le sud-est de la France et le nord-ouest de l'Italie;Bull. Soc. Bot. de Fr., 118, 679-700;Aubert G., Barbero M., Loisel R. - Les Callunaies dans le sud-est de la France et le nord-ouest de l'Italie - 1971
Aubert G., Borel L.;1964;Etude phytosociologique des ocres et des terrains avoisinants de la région d'Apt.;Bull. du Museum d'Hist. Naturelle de Marseille, t. XXIV;Aubert G., Borel L. - Etude phytosociologique des ocres et des terrains avoisinants de la région d'Apt. - 1964
Aubert G., Moutte P.;1966;Remarques phytogéographiques et phytosociologiques sur la région de Rians-Draguignan (Var).;Bull. Soc. Linn. Provence, t. XXIV, 20 p.;Aubert G., Moutte P. - Remarques phytogéographiques et phytosociologiques sur la région de Rians-Draguignan (Var). - 1966
Ayichedehou M. & Lejoly J.;2000;Etude phytosociologique des friches sur vertisols dans les environs d'Abomey (Bénin);"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 465-477";Ayichedehou M. & Lejoly J. - Etude phytosociologique des friches sur vertisols dans les environs d'Abomey (Bénin) - 2000
Bailly G., Ferrez Y., Guyonneau J. & Schaefer O.;2007;Etude et cartographie de la flore et de la végétation de de dix lacs du massif jurassien. Petit et Grand lacs de Clairvaux (Jura), lac du Vernois (Jura), lac du Fioget (Jura), lac de Malpas (Doubs), lac de Remoray (Doubs), lac de Saint-Point (Doubs), lacs de Bellefontaine et des Mortes (Jura et Doubs) et lac des Rousses (Jura). ;Conservatoire botanique de Franche-Comté/DIREN Franche-Comte, Besançon, 132p. ;Bailly G., Ferrez Y., Guyonneau J. & Schaefer O. - Etude et cartographie de la flore et de la végétation de de dix lacs du massif jurassien. Petit et Grand lacs de Clairvaux (Jura), lac du Vernois (Jura), lac du Fioget (Jura), lac de Malpas (Doubs), lac de Remoray (Doubs), lac de Saint-Point (Doubs), lacs de Bellefontaine et des Mortes (Jura et Doubs) et lac des Rousses (Jura).  - 2007
Bailly M., Couderc J. M., Denefle M. & Regrain R.;1975;Une tourbière flottante au cœur de la Touraine : le Tremblay (commune de Saint-Roch).;Doc. Phytosoc. 9-14: 81-92.;Bailly M., Couderc J. M., Denefle M. & Regrain R. - Une tourbière flottante au cœur de la Touraine : le Tremblay (commune de Saint-Roch). - 1975
Balatova-Tulackova E.;1985;Les mégaphorbiaies de l'ordre des Molinietalia en Tchécoslovaquie;"Coll. Phytosoc. XII, ""Séminaire Mégaphorbiaies"", Bailleul 1984: 93-98";Balatova-Tulackova E. - Les mégaphorbiaies de l'ordre des Molinietalia en Tchécoslovaquie - 1985
Balatova-Tulackova E.;1989;Les prairies naturelles et leurs liaisons écologques;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 569-576";Balatova-Tulackova E. - Les prairies naturelles et leurs liaisons écologques - 1989
Balátová-Tulá?ová E.;1963;Zur Systematik der europäischen Phragmitetea.;Preslia 35: 118-122.;Balátová-Tulá?ová E. - Zur Systematik der europäischen Phragmitetea. - 1963
Balcerkiewicz S.;1984;Ro?linno?? wysokogórska Doliny Pi?ciu Stawów Polskich w Tatrach i jej przemiany antropogeniczne.;Seria Biologia 25: 1-91.;Balcerkiewicz S. - Ro?linno?? wysokogórska Doliny Pi?ciu Stawów Polskich w Tatrach i jej przemiany antropogeniczne. - 1984
Balcerkiewicz S. & Wojterska M.;1986;Landforms and Plant communities in the Highmountain vegetation belts in the Tatra mountains;"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 267-277";Balcerkiewicz S. & Wojterska M. - Landforms and Plant communities in the Highmountain vegetation belts in the Tatra mountains - 1986
Ballerini V., Biondi E., Calandra R.;2000;Structure and dynamic of a spartium junceum L.. Population in the Central Apennines (Italy).;"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 1071-1096";Ballerini V., Biondi E., Calandra R. - Structure and dynamic of a spartium junceum L.. Population in the Central Apennines (Italy). - 2000
Barbero M. & Bono G.;1970;Les sapinières des Alpes maritimes, de l'Authion à la Ligurie et la Stura au Tanaro.;Veröff. Geobot. Inst. Eidg. Techn. Hochschule, Stiftung Rübel, Zürich 43: 140-168.;Barbero M. & Bono G. - Les sapinières des Alpes maritimes, de l'Authion à la Ligurie et la Stura au Tanaro. - 1970
Barbero M. & Bono G.;1970;La végétation sylvatique thermophile de l'étage collinéen des Alpes apuanes et de l'Apennin ligure.;Soc. It. di Biogeografia, NS , 1: 147 - 182.;Barbero M. & Bono G. - La végétation sylvatique thermophile de l'étage collinéen des Alpes apuanes et de l'Apennin ligure. - 1970
Barbero M. & Quezel P.;1983;Le problème des manteaux forestiers des Pistacio-Rhamnetalia alaterni en méditerranée orientale - Essai syntaxonomique;"Coll. Phytosoc. VIII, ""Les lisières forestières"", Lille 1979: 9-21";Barbero M. & Quezel P. - Le problème des manteaux forestiers des Pistacio-Rhamnetalia alaterni en méditerranée orientale - Essai syntaxonomique - 1983
Barbiche R.;2002;Caractérisation des habitats de la directive 92/43/CEE en Auvergne: vieilles Chênaies acidophiles des plaines sablonneuses à Quercus robur (9190), et Chênaies pédonculées ou chênaies-charmaies sub-atlantiques et medio-européennes du Carpinion betuli (9160;Mastère de l'Ecole Nationale du Génie Rural, des Eaux et des Forêts, Nancy, 42p. + annexes;Barbiche R. - Caractérisation des habitats de la directive 92/43/CEE en Auvergne: vieilles Chênaies acidophiles des plaines sablonneuses à Quercus robur (9190), et Chênaies pédonculées ou chênaies-charmaies sub-atlantiques et medio-européennes du Carpinion betuli (9160 - 2002
Bareau H.;1983;Etude de quelques groupements végétaux liés aux étangs de la Dombes (Ain).;"Coll. Phytosoc. X, ""Les végétations aquatiques et amphibies"", Lille 1981: 213-235.";Bareau H. - Etude de quelques groupements végétaux liés aux étangs de la Dombes (Ain). - 1983
Barkman J. J.;1972;Einige Bemerkungen zur Synsystematik der Hochmoorgesellschaften.;In Van der Maarel E. & Tüxen R., Grundfragen und Methoden in der Pflanzensoziologie. Junk, Den Haag: 469-479.;Barkman J. J. - Einige Bemerkungen zur Synsystematik der Hochmoorgesellschaften. - 1972
Barkman J.J.;1975;Le Violon caninae existe-t-il?;"Coll. Phytosoc. II,""La végétation des landes d'Europe occidentale"", Lille 1973: 149-156";Barkman J.J. - Le Violon caninae existe-t-il? - 1975
Bartoli C.;1966;Etudes écologiques sur les associations forestières de la Haute-Maurienne.;Annales des Sciences Forestières XXIII(3): 429-751 .;Bartoli C. - Etudes écologiques sur les associations forestières de la Haute-Maurienne. - 1966
Bartsch J. & Bartsch M.;1940;Vegetationskunde des Schwarzwaldes.;Pflanzensoziologie 4: 1-229.;Bartsch J. & Bartsch M. - Vegetationskunde des Schwarzwaldes. - 1940
Basso F.;2000;Note pour une représentation de l'amplitude écologique des groupements et associations végétales forestières;"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 211-221";Basso F. - Note pour une représentation de l'amplitude écologique des groupements et associations végétales forestières - 2000
Basso F. & Seytre L.;2000;Etude de quelques associations végétales forestières de la forêt domaniale de Desvres (Boulonnais, Nord de la France);"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 223-240";Basso F. & Seytre L. - Etude de quelques associations végétales forestières de la forêt domaniale de Desvres (Boulonnais, Nord de la France) - 2000
Baudiere A.;1975;Les callunaies des monts de l'Espinouze (Cevennes Occidentales) et leurs relations avec les groupements sylvatiques;"Coll. Phytosoc. II,""La végétation des landes d'Europe occidentale"", Lille 1973: 97-126";Baudiere A. - Les callunaies des monts de l'Espinouze (Cevennes Occidentales) et leurs relations avec les groupements sylvatiques - 1975
Baudiere A. & Serve L.;1975;Les callunaies d'altitude aux Pyrénées Orientales;"Coll. Phytosoc. II,""La végétation des landes d'Europe occidentale"", Lille 1973: 161-168";Baudiere A. & Serve L. - Les callunaies d'altitude aux Pyrénées Orientales - 1975
Baudiere A. & Serve L.;1975;Les landes rases à Loiseleuria procumbens en Pyrénées-Orientales et leur intérêt phytogéographique;"Coll. Phytosoc. II,""La végétation des landes d'Europe occidentale"", Lille 1973: 337-347";Baudiere A. & Serve L. - Les landes rases à Loiseleuria procumbens en Pyrénées-Orientales et leur intérêt phytogéographique - 1975
Baudière A. & Serve L.;1976;Les groupements à Ligularia sibirica Cass. du Capcir (haute vallée de l’Aude, Pyrénées-Orientales).;Bull. Soc. Bot. France 123(3-4): 167-174.;Baudière A. & Serve L. - Les groupements à Ligularia sibirica Cass. du Capcir (haute vallée de l’Aude, Pyrénées-Orientales). - 1976
Baudiere A. & Simonneau P.;1968;Etude phytosiociologique du cordon litoral de Barcarès-Leucate.;"Extrait de ""Vie et Milieu"", série C, biologie terrestre, T. XIX, fasc. 1-C, 37p.";Baudiere A. & Simonneau P. - Etude phytosiociologique du cordon litoral de Barcarès-Leucate. - 1968
Baudiere A. & Soutade G.;1986;Sur la notion de système phytomorphogénétique et l'utilisation de ce concept pour l'étude de la végétation des milieux supraforestiers;"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 173-177";Baudiere A. & Soutade G. - Sur la notion de système phytomorphogénétique et l'utilisation de ce concept pour l'étude de la végétation des milieux supraforestiers - 1986
Baudiere A., Gauquelin T. & Serve L.;1986;La régression des pelouses culminales et les facteurs de la géomorphologie sur les hautes surfaces planes oriento-pyrénéennes;"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 149-171";Baudiere A., Gauquelin T. & Serve L. - La régression des pelouses culminales et les facteurs de la géomorphologie sur les hautes surfaces planes oriento-pyrénéennes - 1986
Baudiere A., Salanon R. & Serve L.;1975;Les groupements à Calluna vulgaris et Arctostaphylos uva-ursi au niveau de la forêt de pins à crochets aux Pyrénées Orientales;"Coll. Phytosoc. II,""La végétation des landes d'Europe occidentale"", Lille 1973: 329-335";Baudiere A., Salanon R. & Serve L. - Les groupements à Calluna vulgaris et Arctostaphylos uva-ursi au niveau de la forêt de pins à crochets aux Pyrénées Orientales - 1975
Baudière A., Simmoneau P. & Voelckel C.;1976;Les sagnes de l’étang de Salses (Pyrénées-Orientales).;"Coll. Phytosoc. IV, ""La végétation des vases salées"", Lille 1975, ""La végétation des vases salées"", Lille 1975: 1-34.";Baudière A., Simmoneau P. & Voelckel C. - Les sagnes de l’étang de Salses (Pyrénées-Orientales). - 1976
Baudiere A., Somson P. & Serve L.;1986;Les groupements à Viola diversifolia (DC.) W. Beck.: composition floristique et relations avec la dynamique des formations superficielles;"Coll. Phytosoc. XIII, ""Végétation et Géomorphologie"", Bailleul 1985: 767-781";Baudiere A., Somson P. & Serve L. - Les groupements à Viola diversifolia (DC.) W. Beck.: composition floristique et relations avec la dynamique des formations superficielles - 1986
Beard J.S.;1995;The vegetation survey of Western Australia - Problems in mapping a large area;"Coll. Phytosoc. XXIII, ""Large area vegetation surveys"", Bailleul 1994: 1-7";Beard J.S. - The vegetation survey of Western Australia - Problems in mapping a large area - 1995
Becker M.;1988;Démarche méthodologique préconisée pour la typologie des stations forestières;"Coll. Phytosoc. XIV, ""Phytosociologie et Foresterie"", Nancy 1985:  299-311";Becker M. - Démarche méthodologique préconisée pour la typologie des stations forestières - 1988
Beeftink W.J.;1957;De buitendijkse terreinen van der westerschelde en de zeeschelde.;Natuur en Landschap 11(2): 33-50.  ;Beeftink W.J. - De buitendijkse terreinen van der westerschelde en de zeeschelde. - 1957
Beger H.;1922;Assoziationsstudien in der Waldstufe des Schanfiggs.;Mitteilungen aus dem Botanischen Museum der Universita?t Zu?rich,  Bischofberger & Hotzenko?cherle, Chur, 147p.;Beger H. - Assoziationsstudien in der Waldstufe des Schanfiggs. - 1922
Béguin C. & Theurillat J.P.;1982;Analyse de la végétation et du paysage de la région d'Aletsch (MAB-6).;MAB-Schweizerisches nationales Forschungsprogramm, Bern, 44 p.;Béguin C. & Theurillat J.P. - Analyse de la végétation et du paysage de la région d'Aletsch (MAB-6). - 1982
Bernard A. & Carbiener R.;1979;Etude des écotypes d'espèces collectives praticoles inféodées aux prairies subalpines primaires (Calamagrostion arundinaceae) des Hautes-Vosges comparaison aux taxon collinéens et planitaires correspondants de la région Alsace. 1ère partie : Les taxons à;Doc. Phytosoc., NS, IV: 1065-1079;Bernard A. & Carbiener R. - Etude des écotypes d'espèces collectives praticoles inféodées aux prairies subalpines primaires (Calamagrostion arundinaceae) des Hautes-Vosges comparaison aux taxon collinéens et planitaires correspondants de la région Alsace. 1ère partie : Les taxons à - 1979
Bernard A. & Carbiener R.;1980;Etude des écotypes d'espèces collectives praticoles inféodées aux prairies subalpines primaires (Calamagrostion arundinaceae) des Hautes-Vosges comparaison aux taxon collinéens et planitaires correspondants de la région Alsace. 2éme partie : Les taxons à;Doc. Phytosoc., NS, V: 375-408;Bernard A. & Carbiener R. - Etude des écotypes d'espèces collectives praticoles inféodées aux prairies subalpines primaires (Calamagrostion arundinaceae) des Hautes-Vosges comparaison aux taxon collinéens et planitaires correspondants de la région Alsace. 2éme partie : Les taxons à - 1980
Berset J.;1969;Pâturages, prairies et marais montagnards et subalpins des préalpes fribourgeoises.;Station internationale de géobotanique méditerranéenne et alpine, Montpellier, 55p.;Berset J. - Pâturages, prairies et marais montagnards et subalpins des préalpes fribourgeoises. - 1969
Bessis J., Bidault M., Bessis R.;1968;L'Equisetum hienale L. en Côte-d'Or. Données phytosociologiques et écologiques.;Bull. Sci. de Bourgogne, tome 25, p. 73-76.;Bessis J., Bidault M., Bessis R. - L'Equisetum hienale L. en Côte-d'Or. Données phytosociologiques et écologiques. - 1968
Bidault M.;1982;Les zones humides du secteur Frasne-Bonnevaux (Doubs).;Bull. Ecol., t. 13, 2, p. 241-263;Bidault M. - Les zones humides du secteur Frasne-Bonnevaux (Doubs). - 1982
Billy F.;1997;Les forêts et leurs lisières en Basse-Auvergne. ;Bull. Soc. Bot. Centre-Ouest, NS, n° sp 15: 1-329.;Billy F. - Les forêts et leurs lisières en Basse-Auvergne.  - 1997
Billy F.;2000;Prairies et pâturages en Basse-Auvergne. ;Bull. Soc. Bot. Centre-Ouest, NS, n° sp 20: 1-259.;Billy F. - Prairies et pâturages en Basse-Auvergne.  - 2000
Billy F.;2002;Végétations pionnières en Basse-Auvergne. ;Bull. Soc. Bot. Centre-Ouest, NS, n° sp 22: 1-197.;Billy F. - Végétations pionnières en Basse-Auvergne.  - 2002
Billy F.;2007;Végétations herbacées bisannuelles ou vivaces des sols plus ou moins nitratés en Basse-Auvergne. ;Bull. Soc. Bot. Centre-Ouest, NS, 38: 1-225.;Billy F. - Végétations herbacées bisannuelles ou vivaces des sols plus ou moins nitratés en Basse-Auvergne.  - 2007
Billy F., Roux C., Thébaud G., Frain M. & Lamaison J.L.;2005;Compléments pour la flore d'Auvergne.;Rev. Sc. Nat. d'Auvergne 69: 69-77. ;Billy F., Roux C., Thébaud G., Frain M. & Lamaison J.L. - Compléments pour la flore d'Auvergne. - 2005
Biondi E.;1989;Pâturages et dynamisme de la végétation dans l'Apennin centro-septentrionnal;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 293-306";Biondi E. - Pâturages et dynamisme de la végétation dans l'Apennin centro-septentrionnal - 1989
Biondi E.;2000;Syntaxonomy of the Mediterranean chamaephytic and nanophanerophytic vegetation in Italy;"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 123-145";Biondi E. - Syntaxonomy of the Mediterranean chamaephytic and nanophanerophytic vegetation in Italy - 2000
Biondi E. & Baldoni M.;1995;The climate and vegetation of peninsular Italy;"Coll. Phytosoc. XXIII, ""Large area vegetation surveys"", Bailleul 1994: 675-721";Biondi E. & Baldoni M. - The climate and vegetation of peninsular Italy - 1995
Biondi E. & Zuccarello V.;2000;Correlation between ecological parameters and symphytosociological dynamic models;"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 741-766";Biondi E. & Zuccarello V. - Correlation between ecological parameters and symphytosociological dynamic models - 2000
Biondi E., Blasi C.;1984;Les pelouses sèches calcaires à Bromus erectus de l'Apennin central et méridional (Italie);"Coll. Phytosoc. XI, ""La végétation des pelouses calcaires"", Strasbourg 1982: 195-200";Biondi E., Blasi C. - Les pelouses sèches calcaires à Bromus erectus de l'Apennin central et méridional (Italie) - 1984
Biondi E., Casavecchia S. & Zuccarello V.;2000;The potentilletalia caulescentis Br.-Bl. In Br.-Bl. & Jenny 1926 order in Italy.;"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 105-122";Biondi E., Casavecchia S. & Zuccarello V. - The potentilletalia caulescentis Br.-Bl. In Br.-Bl. & Jenny 1926 order in Italy. - 2000
Biondi E., Vagge I. & Mossa L.;2000;On the phytosociological importance of Anthyllis barba-jovis L.;"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 95-104";Biondi E., Vagge I. & Mossa L. - On the phytosociological importance of Anthyllis barba-jovis L. - 2000
Bioret F.;1988;"Exemples de gradients de transformation de la végétation de quelques îlots de deux archipels armoricains; influence de zoopopulations";"Coll. Phytosoc. XV, ""Phytosociologie et conservation de la nature"", Strasbourg 1987: 509-531";"Bioret F. - Exemples de gradients de transformation de la végétation de quelques îlots de deux archipels armoricains; influence de zoopopulations - 1988"
Bioret F.;1995;Cartographie de la végétation de la partie terrestre de l'Archipel de Molène (réserve de biosphère de la mer d'Iroise);"Coll. Phytosoc. XXIII, ""Large area vegetation surveys"", Bailleul 1994: 169-187";Bioret F. - Cartographie de la végétation de la partie terrestre de l'Archipel de Molène (réserve de biosphère de la mer d'Iroise) - 1995
Bioret F. & Gehu J.-M.;2000;L'ourlet subrupicole xéro-halophile à Silene vulgaris subsp. Maritima des côtes rocheuses armoricaines;"Coll. Phytosoc. ""XXVII, Données de la phytosociologie sigmatiste"", Bailleul 1997: 197-201";Bioret F. & Gehu J.-M. - L'ourlet subrupicole xéro-halophile à Silene vulgaris subsp. Maritima des côtes rocheuses armoricaines - 2000
Bioret F. & Magnanon S.;1993;Données phytosociologiques sur les chênaies méso-xérophiles thermoatlantiques maigres du Finistère (Bretagne, France);"Coll. Phytosoc. XX, ""Phytodynamique et Biogéographie historique des forêts"", Bailleul 1991: 293-304";Bioret F. & Magnanon S. - Données phytosociologiques sur les chênaies méso-xérophiles thermoatlantiques maigres du Finistère (Bretagne, France) - 1993
Bioret F. & Magnanon S.;1994;Inventaire phytocoenotique du littoral de Bretagne et évaluation de l’originalité et de l’intérêt patrimonial des syntaxons d’importance communautaire.;Coll. Phytosoc. XXII, 'La syntaxonomie et la synsystématique Européenne comme Base Typologique des Habitats, Bailleul 1993: 145-181.;Bioret F. & Magnanon S. - Inventaire phytocoenotique du littoral de Bretagne et évaluation de l’originalité et de l’intérêt patrimonial des syntaxons d’importance communautaire. - 1994
Bioret F., Bouzille J.-B., Gehu J.-M. & Godeau M.;1991;Phytosociologie paysagère du système pelouses-landes-fourrés des falaises des îles ouest et sud-armoricaines;"Coll. Phytosoc. XVII, ""Phytosociologie et paysage"", Versailles 1988: 129-142";Bioret F., Bouzille J.-B., Gehu J.-M. & Godeau M. - Phytosociologie paysagère du système pelouses-landes-fourrés des falaises des îles ouest et sud-armoricaines - 1991
Bioret F., Géhu J. M. & Magnanon S.;1995;Synécologie et phytosociologie de Cochlearia aestuaria (Lloyd) Heyw. dans les estuaires bretons. ;Doc. Phytosoc., NS, XV:367-382.;Bioret F., Géhu J. M. & Magnanon S. - Synécologie et phytosociologie de Cochlearia aestuaria (Lloyd) Heyw. dans les estuaires bretons.  - 1995
Birse E.L.;1980;Plant communities of Scotland: Revised and additional tables. A Preliminary Phytocoenonia.;Macauley Institute for Soil Research, Aberdeen, 235 p.;Birse E.L. - Plant communities of Scotland: Revised and additional tables. A Preliminary Phytocoenonia. - 1980
Birse E.L. & Robertson J.S.;1976;Plant communities and soils of the lowland and southern upland regions of Scotland.;Macauley Institute for Soil Research, Aberdeen, 226 p.;Birse E.L. & Robertson J.S. - Plant communities and soils of the lowland and southern upland regions of Scotland. - 1976
Blaj Irimia I.;2008;Associations of the Molinio-Arrhenatheretea R. TX. 1937 class in Vaslui river basin.;Analele ?tiin?ifice ale Universit??ii “Al. I. Cuza” Ia?i s. II a.: Biologie vegetal? IV(1): 113-120. ;Blaj Irimia I. - Associations of the Molinio-Arrhenatheretea R. TX. 1937 class in Vaslui river basin. - 2008
Blazkova D.;1973;Pflanzensoziologische Studie über die Wiesen der Südböhmischen Becken.;Studie CSAV 10, Academie-Verlag, Prag, 170p. ;Blazkova D. - Pflanzensoziologische Studie über die Wiesen der Südböhmischen Becken. - 1973
Bobe V.;1989;Etude phytoécologique, agronomique et dynamique des prairies et des friches herbacées des vallées du Parc Naturel Regional de la Haute Vallée de la Chevreuse;"Coll. Phytosoc. XVI, ""Phytosociologie et pastoralisme"", Paris 1988: 587-597";Bobe V. - Etude phytoécologique, agronomique et dynamique des prairies et des friches herbacées des vallées du Parc Naturel Regional de la Haute Vallée de la Chevreuse - 1989
